t(s)	Capacity(Ah)	Voltage(V)
0	0	4.15307
0.1	1.08507e-05	4.08736
0.3	3.25521e-05	4.0864
0.7	7.59549e-05	4.08503
1.5	0.00016276	4.08293
3.1	0.000336372	4.07959
6.3	0.000683594	4.07425
12.7	0.00137804	4.06582
25.5	0.00276693	4.05211
38.3	0.00415582	4.03692
51.1	0.0055447	4.01989
63.9	0.00693359	3.99962
76.7	0.00832248	3.98038
89.5	0.00971137	3.96735
102.3	0.0111003	3.95739
115.1	0.0124891	3.94845
140.7	0.0152669	3.93213
166.3	0.0180447	3.91654
191.9	0.0208225	3.90116
217.5	0.0236003	3.88596
243.1	0.026378	3.87093
268.7	0.0291558	3.85604
294.3	0.0319336	3.8412
319.9	0.0347114	3.82633
345.5	0.0374891	3.81124
371.1	0.0402669	3.79565
396.7	0.0430447	3.77955
422.3	0.0458225	3.7637
447.9	0.0486003	3.74886
499.1	0.0541558	3.72319
550.3	0.0597114	3.70182
601.5	0.0652669	3.68447
652.7	0.0708225	3.67068
703.9	0.076378	3.65958
755.1	0.0819336	3.64974
806.3	0.0874891	3.6399
857.5	0.0930447	3.62932
908.7	0.0986003	3.61723
959.9	0.104156	3.60238
1000	0.108507	3.58492
1051.2	0.114062	3.56329
1102.4	0.119618	3.53306
1128	0.122396	3.51477
1153.6	0.125174	3.49546
1179.2	0.127951	3.47551
1204.8	0.130729	3.45516
1230.4	0.133507	3.43439
1243.2	0.134896	3.42371
1256	0.136285	3.41277
1268.8	0.137674	3.40145
1281.6	0.139062	3.38963
1288	0.139757	3.38346
1291.2	0.140104	3.38032
1294.4	0.140451	3.37713
1297.6	0.140799	3.37388
1300.8	0.141146	3.37059
1304	0.141493	3.36723
1307.2	0.14184	3.36382
1310.4	0.142187	3.36034
1313.6	0.142535	3.35679
1316.8	0.142882	3.35318
1320	0.143229	3.34948
1323.2	0.143576	3.34571
1326.4	0.143924	3.34185
1329.6	0.144271	3.3379
1332.8	0.144618	3.33386
1336	0.144965	3.32972
1339.2	0.145313	3.32548
1342.4	0.14566	3.32112
1345.6	0.146007	3.31665
1348.8	0.146354	3.31206
1352	0.146701	3.30734
1355.2	0.147049	3.30248
1358.4	0.147396	3.29748
1361.6	0.147743	3.29233
1364.8	0.14809	3.28702
1368	0.148438	3.28154
1371.2	0.148785	3.27588
1374.4	0.149132	3.27003
1377.6	0.149479	3.26398
1380.8	0.149826	3.25773
1384	0.150174	3.25125
1387.2	0.150521	3.24454
1390.4	0.150868	3.23758
1393.6	0.151215	3.23036
1396.8	0.151563	3.22285
1400	0.15191	3.21506
1403.2	0.152257	3.20695
1406.4	0.152604	3.19851
1409.6	0.152951	3.18972
1412.8	0.153299	3.18055
1414.4	0.153472	3.17581
1416	0.153646	3.17097
1417.6	0.153819	3.16603
1419.2	0.153993	3.16098
1420.8	0.154167	3.15582
1422.4	0.15434	3.15055
1424	0.154514	3.14515
1425.6	0.154688	3.13963
1427.2	0.154861	3.13398
1428.8	0.155035	3.1282
1430.4	0.155208	3.12228
1432	0.155382	3.11622
1433.6	0.155556	3.11002
1435.2	0.155729	3.10366
1436.8	0.155903	3.09715
1438.4	0.156076	3.09048
1440	0.15625	3.08364
1441.6	0.156424	3.07663
1443.2	0.156597	3.06944
1444.8	0.156771	3.06207
1446.4	0.156944	3.05451
1448	0.157118	3.04674
1449.6	0.157292	3.03877
1451.2	0.157465	3.03059
1454.4	0.157812	3.01348
1457.6	0.15816	2.99547
1460.8	0.158507	2.97646
1467.2	0.159201	2.93468
1473.6	0.159896	2.88785
1486.4	0.161285	2.77093
1499.2	0.162674	2.58155
1505.6	0.163368	2.38268
