# Based on the Artemis Motorway drive cycle,
# time [s],current [A]
450,1.420157
451,1.96994
452,2.022278
453,-0.097353
454,1.412222
455,1.507897
456,-0.097505
457,1.411917
458,1.508202
459,2.626993
460,2.235752
461,2.215
462,1.617151
463,1.07042
464,2.299077
465,1.771725
466,2.988327
467,1.873808
468,2.511177
469,1.868925
470,1.982452
471,0.610666
472,1.9823
473,2.012055
474,0.630045
475,2.636912
476,0.734722
477,1.330739
478,2.672007
479,0.666972
480,-0.318151
481,2.692149
482,1.951476
483,2.701762
484,3.512627
485,1.473716
486,0.113832
487,-0.303655
488,-0.317998
489,-0.290379
490,1.816281
491,2.539712
492,1.982147
493,2.636912
494,1.35256
495,2.701762
496,0.77348
497,2.737011
498,2.065003
499,2.183719
500,2.121462
501,1.497368
502,0.128481
503,0.097505
504,-0.603952
505,-0.326696
506,-0.298619
507,1.174182
508,3.761501
509,3.288014
510,2.671855
511,2.737163
512,2.804303
513,2.12253
514,2.904097
515,2.303502
516,2.241245
517,2.366217
518,2.302434
519,1.654078
520,0.229038
521,0.19379
522,0.896925
523,1.524987
524,0.784771
525,-0.592203
526,0.772869
527,0.666667
528,1.352407
529,2.06775
530,1.377279
531,1.377127
532,1.377432
533,1.377279
534,0.666667
535,1.351797
536,2.067445
537,2.736706
538,1.42504
539,1.425345
540,0.704967
541,0.773175
542,0.053864
543,-0.651865
544,-0.298772
545,0.508431
546,0.573739
547,-0.043641
548,-0.362402
549,-0.629587
550,-1.426261
551,-2.050202
552,-2.100862
553,-1.96231
554,-1.144579
555,-0.635386
556,-0.305943
557,-0.704814
558,-0.160525
559,-0.157321
560,0.704509
561,1.037461
562,2.027161
563,1.528954
564,2.015412
565,2.536202
566,2.749065
567,2.082399
568,3.180591
569,2.375982
570,3.510948
571,2.686046
572,2.814832
573,3.553826
574,3.124743
575,2.62623
576,3.455558
577,2.271916
578,2.920882
579,1.152514
580,2.416571
581,1.874418
582,2.511482
583,0.575418
584,-0.298619
585,-0.349889
