35.4,-0.45
35.5,-0.45
35.6,-0.45
35.7,-0.45
35.8,-0.45
35.9,-0.45
36,-0.45
36.1,-0.47
36.2,-0.47
36.3,-0.47
36.4,-0.47
36.5,-0.47
36.6,-0.47
36.7,-0.47
36.8,-0.47
36.9,-0.47
37,-0.47
37.1,-0.48
37.2,-0.48
37.3,-0.48
37.4,-0.48
37.5,-0.48
37.6,-0.48
37.7,-0.48
37.8,-0.48
37.9,-0.48
38,-0.48
38.1,-0.37
38.2,-0.37
38.3,-0.37
38.4,-0.37
38.5,-0.37
38.6,-0.37
38.7,-0.37
38.8,-0.37
38.9,-0.37
39,-0.37
39.1,-0.14
39.2,-0.14
39.3,-0.14
39.4,-0.14
39.5,-0.14
39.6,-0.14
39.7,-0.14
39.8,-0.14
39.9,-0.14
40,-0.14
40.1,0.02
40.2,0.04
40.3,0.04
40.4,0.04
40.5,0.04
40.6,0.04
40.7,0.04
40.8,0.04
40.9,0.04
41,0.04
41.1,0.45
41.2,0.45
41.3,0.45
41.4,0.45
41.5,0.45
41.6,0.45
41.7,0.45
41.8,0.45
41.9,0.45
42,0.45
42.1,0.8
42.2,0.8
42.3,0.8
42.4,0.8
42.5,0.8
42.6,0.8
42.7,0.8
42.8,0.8
42.9,0.8
43,0.8
43.1,0.82
43.2,0.82
43.3,0.82
43.4,0.82
43.5,0.82
43.6,0.82
43.7,0.82
43.8,0.82
43.9,0.82
44,0.82
44.1,0.73
44.2,0.73
44.3,0.73
44.4,0.73
44.5,0.73
44.6,0.73
44.7,0.73
44.8,0.73
44.9,0.73
45,0.73
45.1,0.24
45.2,0.24
45.3,0.24
45.4,0.24
45.5,0.24
45.6,0.24
45.7,0.24
45.8,0.24
45.9,0.24
46,0.24
46.1,0.2
46.2,0.2
46.3,0.2
46.4,0.2
46.5,0.2
46.6,0.2
46.7,0.2
46.8,0.2
46.9,0.2
47,0.2
47.1,0.17
47.2,0.17
47.3,0.17
47.4,0.17
47.5,0.17
47.6,0.17
47.7,0.17
47.8,0.17
47.9,0.17
48,0.17
48.1,0.1
48.2,0.1
48.3,0.1
48.4,0.1
48.5,0.1
48.6,0.1
48.7,0.1
48.8,0.1
48.9,0.1
49,0.1
49.1,0.06
49.2,0.06
49.3,0.06
49.4,0.06
49.5,0.06
49.6,0.06
49.7,0.06
49.8,0.06
49.9,0.06
50,0.06
50.1,0.07
50.2,0.07
50.3,0.07
50.4,0.07
50.5,0.07
50.6,0.07
50.7,0.07
50.8,0.07
50.9,0.07
51,0.07
51.1,0.21
51.2,0.21
51.3,0.21
51.4,0.21
51.5,0.21
51.6,0.21
51.7,0.21
51.8,0.21
51.9,0.21
52,0.21
52.1,0.17
52.2,0.17
52.3,0.17
52.4,0.17
52.5,0.17
52.6,0.17
52.7,0.17
52.8,0.17
52.9,0.17
53,0.17
53.1,0.15
53.2,0.15
53.3,0.15
53.4,0.15
53.5,0.15
53.6,0.15
53.7,0.15
53.8,0.15
53.9,0.15
54,0.15
54.1,0.04
54.2,0.04
54.3,0.04
54.4,0.04
54.5,0.04
54.6,0.04
54.7,0.04
54.8,0.04
54.9,0.04
55,0.04
55.1,0.13
55.2,0.13
55.3,0.13
55.4,0.13
55.5,0.13
55.6,0.13
55.7,0.13
55.8,0.13
55.9,0.13
56,0.13
56.1,0.12
56.2,0.12
56.3,0.12
56.4,0.12
56.5,0.12
56.6,0.12
56.7,0.12
56.8,0.12
56.9,0.12
57,0.12
57.1,0.17
57.2,0.17
57.3,0.17
57.4,0.17
57.5,0.17
57.6,0.17
57.7,0.17
57.8,0.17
57.9,0.17
58,0.17
58.1,0.11
58.2,0.11
58.3,0.11
58.4,0.11
58.5,0.11
58.6,0.11
58.7,0.11
58.8,0.11
58.9,0.11
59,0.11
59.1,0.07
59.2,0.07
59.3,0.07
59.4,0.07
59.5,0.07
59.6,0.07
59.7,0.07
59.8,0.07
59.9,0.07
60,0.07
60.1,0.01
60.2,0.01
60.3,0.01
60.4,0.01
60.5,0.01
60.6,0.01
60.7,0.01
60.8,0.01
60.9,0.01
61,0.01
61.1,0.04
61.2,0.04
61.3,0.04
61.4,0.04
61.5,0.04
61.6,0.04
61.7,0.04
61.8,0.04
61.9,0.04
62,0.04
62.1,0.04
62.2,0.04
62.3,0.04
62.4,0.04
62.5,0.04
62.6,0.04
62.7,0.04
62.8,0.04
62.9,0.04
63,0.04
63.1,0.08
63.2,0.08
63.3,0.08
63.4,0.08
63.5,0.08
63.6,0.08
63.7,0.08
63.8,0.08
63.9,0.08
64,0.08
64.1,0.03
64.2,0.03
64.3,0.03
64.4,0.03
64.5,0.03
64.6,0.03
64.7,0.03
64.8,0.03
64.9,0.03
65,0.03
65.1,0.04
65.2,0.04
65.3,0.04
65.4,0.04
65.5,0.04
65.6,0.04
65.7,0.04
65.8,0.04
65.9,0.04
66,0.04
66.1,0.02
66.2,0
66.3,-0.02
66.4,-0.02
66.5,-0.02
66.6,-0.02
66.7,-0.02
66.8,-0.02
66.9,-0.02
67,-0.02
67.1,0
67.2,0
67.3,0
67.4,0
67.5,0
67.6,0
67.7,0
67.8,0
67.9,0
68,0
68.1,0.02
68.2,0.04
68.3,0.04
68.4,0.04
68.5,0.04
68.6,0.04
68.7,0.04
68.8,0.04
68.9,0.04
69,0.04
69.1,0.04
69.2,0.04
69.3,0.04
69.4,0.04
69.5,0.04
69.6,0.04
69.7,0.04
69.8,0.04
69.9,0.04
70,0.04
70.1,0.02
70.2,-0.1
70.3,-0.1
70.4,-0.1
70.5,-0.1
70.6,-0.1
70.7,-0.1
70.8,-0.1
70.9,-0.1
71,-0.1
71.1,-0.59
71.2,-0.59
71.3,-0.59
71.4,-0.59
71.5,-0.59
71.6,-0.59
71.7,-0.59
71.8,-0.59
71.9,-0.59
72,-0.59
72.1,-0.1
72.2,-0.1
72.3,-0.1
72.4,-0.1
72.5,-0.1
72.6,-0.1
72.7,-0.1
72.8,-0.1
72.9,-0.1
73,-0.1
73.1,0.67
73.2,0.56
73.3,0.56
73.4,0.56
73.5,0.56
73.6,0.56
73.7,0.56
73.8,0.56
73.9,0.56
74,0.56
74.1,0.81
74.2,0.81
74.3,0.81
74.4,0.81
74.5,0.81
74.6,0.81
74.7,0.81
74.8,0.81
74.9,0.81
75,0.81
75.1,0.3
75.2,0.3
75.3,0.3
75.4,0.3
75.5,0.3
75.6,0.3
75.7,0.3
75.8,0.3
75.9,0.3
76,0.3
76.1,0.01
76.2,-0.05
76.3,-0.05
76.4,-0.05
76.5,-0.05
76.6,-0.05
76.7,-0.05
76.8,-0.05
76.9,-0.05
77,-0.05
77.1,-0.26
77.2,-0.26
77.3,-0.26
77.4,-0.26
77.5,-0.26
77.6,-0.26
77.7,-0.26
77.8,-0.26
77.9,-0.26
78,-0.26
78.1,-0.14
78.2,-0.14
78.3,-0.14
78.4,-0.14
78.5,-0.14
78.6,-0.14
78.7,-0.14
78.8,-0.14
78.9,-0.14
79,-0.14
79.1,-0.06
79.2,-0.06
79.3,-0.06
79.4,-0.06
79.5,-0.06
79.6,-0.06
79.7,-0.06
79.8,-0.06
79.9,-0.06
80,-0.06
80.1,0.53
80.2,0.47
80.3,0.47
80.4,0.47
80.5,0.47
80.6,0.47
80.7,0.47
80.8,0.47
80.9,0.47
81,0.47
81.1,0.6
81.2,0.6
81.3,0.6
81.4,0.6
81.5,0.6
81.6,0.6
81.7,0.6
81.8,0.6
81.9,0.6
82,0.6
82.1,0.72
82.2,0.72
82.3,0.72
82.4,0.72
82.5,0.72
82.6,0.72
82.7,0.72
82.8,0.72
82.9,0.72
83,0.72
83.1,0.62
83.2,0.62
83.3,0.62
83.4,0.62
83.5,0.62
83.6,0.62
83.7,0.62
83.8,0.62
83.9,0.62
84,0.62
84.1,0.01
84.2,-0.09
84.3,-0.09
84.4,-0.09
84.5,-0.09
84.6,-0.09
84.7,-0.09
84.8,-0.09
84.9,-0.09
85,-0.09
85.1,-0.45
85.2,-0.45
85.3,-0.45
85.4,-0.45
85.5,-0.45
85.6,-0.45
85.7,-0.45
85.8,-0.45
85.9,-0.45
86,-0.45
86.1,-0.41
86.2,-0.41
86.3,-0.41
86.4,-0.41
86.5,-0.41
86.6,-0.41
86.7,-0.41
86.8,-0.41
86.9,-0.41
87,-0.41
87.1,-0.07
87.2,-0.07
87.3,-0.07
87.4,-0.07
87.5,-0.07
87.6,-0.07
87.7,-0.07
87.8,-0.07
87.9,-0.07
88,-0.07
